Rk,Jugador,Posicion,Edad,Codigo de equipo,Partidos,Titulares,Minutos jugados,Triples logrados,Triples totales,Tiros de dos puntos logrados,Tiros de dos puntos totales,Tiros libres logrados,Tiros libres totales,Rebotes ofensivos,Rebotes defensivos,Asistencias,Robos,Bloqueos,Perdidas,Faltas personales,Puntos
1,Precious Achiuwa,C,22,TOR,73,28,1725,56,156,209,447,78,131,146,327,82,37,41,84,151,664
2,Steven Adams,C,28,MEM,76,75,1999,0,1,210,383,108,199,349,411,256,65,60,115,153,528
3,Bam Adebayo,C,24,MIA,56,56,1825,0,6,406,723,256,340,137,427,190,80,44,148,171,1068
4,Santi Aldama,PF,21,MEM,32,0,360,6,48,47,84,20,32,33,54,21,6,10,16,36,132
5,LaMarcus Aldridge,C,36,BRK,47,12,1050,14,46,238,412,89,102,73,185,42,14,47,44,78,607
6,Nickeil Alexander-Walker,SG,23,UTA,65,21,1466,105,338,148,342,81,109,37,150,156,46,23,93,103,692
7,Grayson Allen,SG,26,MIL,66,61,1805,159,389,96,180,64,74,32,190,100,46,18,43,96,733
8,Jarrett Allen,C,23,CLE,56,56,1809,1,10,368,535,165,233,192,410,92,44,75,94,97,904
9,Jose Alvarado,PG,23,NOP,54,1,834,32,110,99,184,36,53,25,75,152,71,7,40,73,330
10,Justin Anderson,SF,28,IND,16,6,316,15,59,21,36,15,19,4,42,33,8,6,8,22,102
11,Kyle Anderson,PF,28,MEM,69,11,1484,36,109,173,360,67,105,69,299,183,77,45,71,108,521
12,Giannis Antetokounmpo,PF,27,MIL,67,67,2204,71,242,618,1003,553,766,134,644,388,72,91,219,212,2002
13,Thanasis Antetokounmpo,SF,29,MIL,48,6,473,2,14,68,114,29,46,40,61,22,16,12,26,68,171
14,Carmelo Anthony,PF,37,LAL,69,3,1793,149,397,170,326,132,159,62,226,68,47,52,59,166,919
15,Cole Anthony,PG,21,ORL,65,65,2059,132,391,225,521,216,253,32,316,369,46,17,170,171,1062
16,OG Anunoby,SF,24,TOR,48,48,1728,115,317,194,380,89,118,74,190,125,71,25,80,131,822
17,Ryan Arcidiacono,PG,27,NYK,10,0,76,4,9,2,3,0,0,0,8,4,1,0,3,5,16
18,Trevor Ariza,SF,36,LAL,24,11,462,20,74,13,25,10,18,10,72,27,13,6,11,20,96
19,D.J. Augustin,PG,34,LAL,55,2,883,68,164,26,58,38,43,11,57,107,17,1,56,39,294
20,Deni Avdija,SF,21,WAS,82,8,1984,82,259,168,320,103,136,52,373,167,59,44,87,190,685
21,Joel Ayayi,SG,21,WAS,7,0,20,0,1,1,5,0,0,1,2,4,0,0,0,0,2
22,Deandre Ayton,C,23,PHO,58,58,1713,7,19,435,678,106,142,149,444,84,40,40,91,142,997
23,Udoka Azubuike,C,22,UTA,17,6,195,0,0,37,49,6,11,18,53,0,1,11,12,25,80
24,Marvin Bagley III,PF,22,DET,48,25,1146,23,97,202,349,67,101,105,233,36,22,18,39,93,540
25,LaMelo Ball,PG,20,CHO,75,75,2422,220,565,318,689,212,243,108,393,571,119,30,245,237,1508
26,Lonzo Ball,PG,24,CHI,35,35,1212,110,260,52,123,21,28,35,155,178,64,31,82,85,455
27,Mo Bamba,C,23,ORL,71,69,1824,107,281,189,336,57,73,148,424,85,38,118,77,182,756
28,Desmond Bane,SF,23,MEM,76,76,2266,228,523,280,578,140,155,46,288,208,92,29,111,196,1384
29,Dalano Banton,PG,22,TOR,64,1,696,13,51,70,151,26,44,38,86,99,28,10,53,68,205
30,Cat Barber,PG,27,ATL,3,0,13,0,0,0,4,0,4,1,2,3,0,0,1,1,0
31,Harrison Barnes,PF,29,SAC,77,77,2587,142,360,249,474,341,413,82,350,186,53,14,118,94,1265
32,Scottie Barnes,PF,20,TOR,74,74,2617,58,193,401,739,158,215,195,362,256,80,55,136,192,1134
33,RJ Barrett,SF,21,NYK,70,70,2417,138,404,349,790,290,406,66,342,208,43,16,151,142,1402
34,Will Barton,SG,31,DEN,71,71,2277,157,430,235,466,102,127,44,296,276,55,31,127,114,1043
35,Paris Bass,SF,26,PHO,2,0,7,0,2,2,4,2,2,2,2,0,1,0,2,2,6
36,Charles Bassey,PF,21,PHI,23,0,168,0,4,30,43,9,12,22,40,7,5,17,8,32,69
37,Keita Bates-Diop,SF,26,SAS,59,14,956,17,55,119,208,46,61,62,169,41,27,14,45,61,335
38,Nicolas Batum,PF,33,LAC,59,54,1462,108,270,71,117,25,38,29,225,100,58,42,40,80,491
39,Kent Bazemore,SF,32,LAL,39,14,545,29,80,16,59,13,17,13,56,34,25,9,21,70,132
40,Darius Bazley,PF,21,OKC,69,53,1924,80,269,194,380,117,170,71,365,97,58,70,90,68,745
41,Bradley Beal,SG,28,WAS,40,40,1439,63,210,285,561,169,203,38,151,265,36,15,135,95,928
42,Malik Beasley,SG,25,MIN,79,18,1976,240,637,92,213,49,60,26,201,116,43,12,43,88,953
43,Jordan Bell,C,27,CHI,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0
44,DeAndre' Bembry,SF,27,MIL,56,20,1026,15,36,109,185,21,35,42,121,66,49,25,31,113,284
45,D?vis Bert?ns,PF,29,DAL,56,0,807,77,230,22,45,36,40,12,105,31,17,12,19,85,311
46,Patrick Beverley,PG,33,MIN,58,54,1476,83,242,94,194,96,133,62,178,268,67,52,73,174,533
47,Saddiq Bey,SF,22,DET,82,82,2704,211,610,239,526,210,254,107,334,233,73,16,96,128,1321
48,Khem Birch,C,29,TOR,55,28,991,0,14,97,186,53,71,122,117,56,30,26,29,104,247
49,Goga Bitadze,C,22,IND,50,16,729,23,80,108,172,64,94,79,98,55,21,42,46,107,349
50,Bismack Biyombo,C,29,PHO,36,3,506,0,0,86,145,38,71,63,104,23,12,26,25,70,210
51,Nemanja Bjelica,C,33,GSW,71,0,1142,54,149,106,193,59,81,62,232,159,41,26,87,128,433
52,Eric Bledsoe,PG,32,LAC,54,29,1361,51,163,146,305,89,117,28,154,225,69,19,116,85,534
53,Keljin Blevins,SF,26,POR,31,1,349,21,72,13,39,6,11,16,29,19,13,1,17,29,95
54,Bogdan Bogdanovi?,SG,29,ATL,63,27,1848,169,459,173,335,97,115,29,221,194,68,14,70,132,950
55,Bojan Bogdanovi?,PF,32,UTA,69,69,2131,181,468,241,460,223,260,58,238,120,34,1,118,116,1248
56,Bol Bol,PF,22,DEN,14,0,81,1,4,14,23,2,5,4,16,5,1,2,4,4,33
57,Leandro Bolmaro,SF,21,MIN,35,2,241,5,18,12,36,11,13,16,27,21,6,0,13,26,50
58,Isaac Bonga,SF,22,TOR,15,0,69,1,4,2,9,5,8,4,3,4,8,2,2,10,12
